name,nationality_freq
afghan,0
albanian,0
algerian,0
american samoan,0
andorran,0
angolan,0
anguillian,0
"antiguan, barbudan",0
argentinean,0
armenian,0
aruban,0
australian,14
austrian,1
azerbaijani,0
bahamian,0
bahraini,0
bangladeshi,0
barbadian,0
belarusian,0
belgian,0
belizean,0
beninese,0
bermudian,0
bhutanese,0
bolivian,0
"bosnian, herzegovinian",0
brazilian,0
british,35
bruneian,0
bulgarian,0
burkinabe,0
burundian,0
cambodian,4
cameroonian,0
canadian,18
cape verdian,0
caymanian,0
central african,0
chadian,0
channel islander,0
chilean,0
christmas island,0
cocos islander,0
colombian,0
comoran,0
congolese,0
cook islander,0
costa rican,0
croatian,0
cuban,0
cypriot,0
czech,0
danish,0
djibouti,0
dominican,0
dutch,23
east timorese,0
ecuadorean,0
egyptian,0
emirati,0
equatorial guinean,0
eritrean,0
estonian,0
ethiopian,0
falkland islander,0
faroese,0
fijian,0
finnish,0
french,21
french polynesian,0
gabonese,0
gambian,0
georgian,0
german,33
ghanaian,0
gibraltar,0
greek,0
greenlandic,0
grenadian,0
guadeloupian,0
guamanian,0
guatemalan,0
guinea-bissauan,0
guinean,0
guyanese,0
haitian,0
heard and mcdonald islander,0
honduran,0
hungarian,1
i-kiribati,0
icelander,0
indian,49
indonesian,62
iranian,2
iraqi,10
irish,3
israeli,1
italian,11
ivorian,0
jamaican,0
jordanian,7
kazakhstani,0
kenyan,0
kirghiz,0
kittian and nevisian,0
kuwaiti,14
laotian,1
latvian,0
lebanese,0
liberian,0
libyan,2
liechtensteiner,0
lithuanian,0
luxembourger,0
macedonian,0
malagasy,0
malawian,0
malaysian,44
maldivan,0
malian,0
maltese,0
manx,0
marshallese,0
mauritanian,0
mauritian,0
mexican,7
micronesian,0
moldovan,0
monegasque,0
mongolian,2
montenegrin,0
"montenegrins, serbs",0
montserratian,0
moroccan,0
mosotho,0
motswana,0
mozambican,0
myanmar,30
namibian,0
nauruan,0
nepalese,0
new caledonian,0
new zealander,0
ni-vanuatu,0
nicaraguan,0
nigerian,0
niuean,0
norfolk islander,0
norwegian,14
omani,0
pakistani,1
palauan,0
palestinian,0
panamanian,0
papua new guinean,0
paraguayan,0
peruvian,0
pitcairn islander,0
polish,2
portuguese,1
puerto rican,0
qatari,1
romanian,1
russian,62
rwandan,0
sahrawi,0
saint barthélemy islander,0
saint helenian,0
saint lucian,0
saint martin islander,0
saint vincentian,0
salvadoran,0
sammarinese,0
samoan,0
sao tomean,0
saudi arabian,0
senegalese,0
serbian,1
seychellois,0
sierra leonean,0
singaporean,10
slovak,0
slovene,0
solomon islander,0
somali,2
south african,1
south georgia and the south sandwich islander,0
spanish,54
sri lankan,3
sudanese,0
surinamer,0
swazi,0
swedish,0
swiss,22
syrian,6
tadzhik,0
taiwanese,1
tanzanian,0
thai,6
togolese,0
tokelauan,0
tongan,0
trinidadian,0
tunisian,0
turkish,0
turkmen,0
turks and caicos islander,0
tuvaluan,0
ugandan,0
ukrainian,0
uruguayan,0
uzbekistani,0
venezuelan,0
vietnamese,14
virgin islander,0
wallis and futuna islander,0
yemeni,0
zambian,0
zimbabwean,0
filipino | pinoy,2075
american | amerikano,1021
japanese | hapon,195
chinese | intsik,695
korean,65
